cliente_id,tipo_piel,tono_base,ciudad
CLIENTE_151,Seca,N150,Manizales
CLIENTE_152,,W180,Manizales
CLIENTE_153,,W180,Manizales
CLIENTE_154,Combinada,,Manizales
CLIENTE_155,Seca,W180,Manizales
CLIENTE_156,Grasa,,Manizales
CLIENTE_157,Combinada,W160,Manizales
CLIENTE_158,Grasa,W160,Manizales
CLIENTE_159,Normal,W160,Manizales
CLIENTE_160,,W160,Manizales
CLIENTE_161,Grasa,W180,Manizales
CLIENTE_162,Combinada,W150,Manizales
CLIENTE_163,Grasa,N190,Manizales
CLIENTE_164,Combinada,W160,Manizales
CLIENTE_165,Combinada,W180,Manizales
CLIENTE_166,Normal,,Manizales
CLIENTE_167,Grasa,N150,Manizales
CLIENTE_168,Grasa,N150,Manizales
CLIENTE_169,Grasa,W180,Manizales
CLIENTE_170,Grasa,W180,Manizales
CLIENTE_171,Normal,N200,Manizales
CLIENTE_172,Grasa,W160,Manizales
CLIENTE_173,Grasa,N200,Manizales
CLIENTE_174,,,Manizales
CLIENTE_175,Normal,,Manizales
CLIENTE_176,Grasa,C220,Manizales
CLIENTE_177,,,Manizales
CLIENTE_178,,W180,Manizales
CLIENTE_179,Grasa,N150,Manizales
CLIENTE_180,Seca,N150,Manizales
CLIENTE_181,,W180,Manizales
CLIENTE_182,Combinada,W160,Manizales
CLIENTE_183,,W180,Manizales
CLIENTE_184,Combinada,N200,Manizales
CLIENTE_185,Combinada,N150,Manizales
CLIENTE_186,Grasa,,Manizales
CLIENTE_187,Grasa,W180,Manizales
CLIENTE_188,Seca,,Manizales
CLIENTE_189,Normal,W150,Manizales
CLIENTE_190,,N150,Manizales
CLIENTE_191,,N150,Manizales
CLIENTE_192,Grasa,W160,Manizales
CLIENTE_193,Grasa,,Manizales
CLIENTE_194,Normal,,Manizales
CLIENTE_195,Grasa,,Manizales
CLIENTE_196,,,Manizales
CLIENTE_197,,W180,Manizales
CLIENTE_198,,N150,Manizales
CLIENTE_199,Seca,,Manizales
CLIENTE_200,Seca,N150,Manizales
CLIENTE_201,Normal,W160,Manizales
CLIENTE_202,Normal,W180,Manizales
CLIENTE_203,Grasa,W180,Manizales
CLIENTE_204,Grasa,W150 B,Manizales
CLIENTE_205,,W180,Manizales
CLIENTE_206,,,Manizales
CLIENTE_207,,,Manizales
CLIENTE_208,Grasa,N150,Manizales
CLIENTE_209,Normal,,Manizales
CLIENTE_210,Grasa,w180,Manizales
CLIENTE_211,Normal,N200,Manizales
CLIENTE_212,Grasa,W180,Manizales
CLIENTE_213,Combinada,W180,Manizales
CLIENTE_214,Grasa,W180,Manizales
CLIENTE_215,Normal,,Manizales
CLIENTE_216,Combinada,W180,Manizales
CLIENTE_217,Grasa,W160,Manizales
CLIENTE_218,Seca,,Manizales
CLIENTE_219,,,Manizales
CLIENTE_220,,W150,Manizales
CLIENTE_221,Grasa,W180,Manizales
CLIENTE_222,Grasa,W160,Manizales
CLIENTE_223,Combinada,,Manizales
CLIENTE_224,Combinada,W180,Manizales
CLIENTE_225,Grasa,W160,Manizales
CLIENTE_226,Normal,N200,Manizales
CLIENTE_227,Normal,W160,Manizales
CLIENTE_228,,,Manizales
CLIENTE_229,Grasa,,Manizales
CLIENTE_230,Grasa,W150,Manizales
CLIENTE_231,,W180,Manizales
CLIENTE_232,Grasa,,Manizales
CLIENTE_233,Normal,N150,Manizales
CLIENTE_234,,,Manizales
CLIENTE_235,Grasa,,Manizales
CLIENTE_236,,N150,Manizales
CLIENTE_237,Combinada,,Manizales
CLIENTE_238,Normal,N150,Manizales
CLIENTE_239,Seca,W180,Manizales
CLIENTE_240,Seca,W180,Manizales
CLIENTE_241,Grasa,N150,Manizales
CLIENTE_242,Grasa,N150,Manizales
CLIENTE_243,Combinada,W180,Manizales
CLIENTE_244,,N150,Manizales
CLIENTE_245,,N150,Manizales
CLIENTE_246,,,Manizales
CLIENTE_247,Combinada,W150,Manizales
CLIENTE_248,,,Manizales
CLIENTE_249,Combinada,W150,Manizales
CLIENTE_250,Normal,N150,Manizales
CLIENTE_251,Combinada,N190,Manizales
CLIENTE_252,Grasa,,Manizales
CLIENTE_253,Normal,W180,Manizales
CLIENTE_254,Normal,N150,Manizales
CLIENTE_255,Grasa,W180,Manizales
CLIENTE_256,Seca,W180,Manizales
CLIENTE_257,,W160,Manizales
CLIENTE_258,,W150,Manizales
CLIENTE_259,,,Manizales
CLIENTE_260,Grasa,N200,Manizales
CLIENTE_261,Seca,N150,Manizales
CLIENTE_262,Normal,,Manizales
CLIENTE_263,Grasa,N200,Manizales
CLIENTE_264,Seca,,Manizales
CLIENTE_265,,W180,Manizales
CLIENTE_266,Combinada,W180,Manizales
CLIENTE_267,,W180,Manizales
CLIENTE_268,,W180,Manizales
CLIENTE_269,Combinada,N150,Manizales
CLIENTE_270,Normal,W180,Manizales
CLIENTE_271,Seca,N150,Manizales
CLIENTE_272,,N150,Manizales
CLIENTE_273,Normal,,Manizales
CLIENTE_274,Combinada,N150,Manizales
CLIENTE_275,Grasa,W160,Manizales
CLIENTE_276,,,Manizales
CLIENTE_277,Seca,N200,Manizales
CLIENTE_278,Combinada,W160,Manizales
CLIENTE_279,Normal,,Manizales
CLIENTE_280,,,Manizales
CLIENTE_281,,,
CLIENTE_282,Seca,,Marquetalia
CLIENTE_283,Combinada,N210,Manizales
CLIENTE_284,Combinada,,Manizales
CLIENTE_285,Normal,,Manizales
CLIENTE_286,Grasa,N150,Manizales
CLIENTE_287,,N150,Manizales
CLIENTE_288,Combinada,W160,Manizales
CLIENTE_289,Normal,N150,Manizales
CLIENTE_290,Combinada,n150,Manizales
CLIENTE_291,Normal,W180,Pensilvania
CLIENTE_292,Combinada,,Pensilvania
CLIENTE_293,Combinada,C220,Pensilvania
CLIENTE_294,Combinada,W160,Pensilvania
CLIENTE_295,Combinada,,Pensilvania
CLIENTE_296,Combinada,W180,Pensilvania
CLIENTE_297,Normal,W180,Pensilvania
CLIENTE_298,Combinada,W180,Pensilvania
CLIENTE_299,Combinada,N150,Pensilvania
CLIENTE_300,,,Pensilvania
CLIENTE_301,Combinada,,Pensilvania
CLIENTE_302,Normal,W180,Pensilvania
CLIENTE_303,Combinada,,Pensilvania
CLIENTE_304,Normal,W150,Pensilvania
CLIENTE_305,Combinada,W150,Pensilvania
CLIENTE_306,Combinada,W180,Pensilvania
CLIENTE_307,Combinada,N150,Pensilvania
CLIENTE_308,Normal,C220,Manizales
CLIENTE_309,Seca,N150,Manizales
CLIENTE_310,Grasa,W120,Manizales
CLIENTE_311,Combinada,W160,Manizales
CLIENTE_312,Normal,N150,Manizales
CLIENTE_313,Combinada,W180,Manizales
CLIENTE_314,Combinada,N150,Manizales
CLIENTE_315,Combinada,N200,Manizales
CLIENTE_316,Combinada,N210,Manizales
CLIENTE_317,Normal,C220,Pensilvania
CLIENTE_318,Combinada,,Pensilvania
CLIENTE_319,Combinada,,Manizales
CLIENTE_320,Combinada,,Manizales
CLIENTE_321,Normal,W180,Manizales
CLIENTE_322,Grasa,N210,Manizales
CLIENTE_323,Normal,N150,Manizales
CLIENTE_324,Grasa,N210,Manizales
CLIENTE_325,,N150,Manizales
CLIENTE_326,Combinada,W150,Manizales
CLIENTE_327,Combinada,W180,Manizales
CLIENTE_328,Normal,N200,Filadelfia
CLIENTE_329,Normal,,Filadelfia
CLIENTE_330,Normal,N200,Manizales
